,date,init-from,size(byte),footprint(%),psnr,bpp,CR,mse,ssim,cmprss-class,cmprss-class-2
18,2021.01.12-223958,2020.12.14-174343,16352.0,19.471302691116932,29.346378432114008,1.99609375,4.007827788649706,0.00466539291664958,0.793262102562616,AGP+QATRLQ:AS:NNPCW,QATRLQ
19,2021.01.12-224034,2020.12.14-174343,16486.0,19.630864491545605,37.734865465477746,2.012451171875,3.9752517287395364,0.000674196460749954,0.961793807216645,AGP+QATRLQ:AS:NNPCW,QATRLQ
20,2021.01.12-224110,2020.12.14-174343,16404.0,19.533222195760896,26.188218266433328,2.00244140625,3.995123140697391,0.009621398523449898,0.7311767127365446,AGP+QATRLQ:AS:PCW,QATRLQ
21,2021.01.12-224147,2020.12.14-174343,16478.0,19.621338413908074,35.35868950216822,2.011474609375,3.977181696807865,0.0011666875798255205,0.9284374936215029,AGP+QATRLQ:AS:PCW,QATRLQ
22,2021.01.12-224223,2020.12.14-174343,16327.0,19.441533698499644,26.324789291482855,1.9930419921875,4.013964598517792,0.009323567152023315,0.7237110090782451,AGP+QATRLQ:AS:NNPCW,QATRLQ
23,2021.01.12-234059,2020.12.14-174343,16420.0,19.552274351035962,27.46438637686245,2.00439453125,3.9912302070645556,0.007202413398772478,0.7426300699070014,AGP+QATRLQ:S:PCW,QATRLQ
24,2021.01.12-234122,2020.12.14-174343,16482.0,19.62610145272684,38.4284900183105,2.011962890625,3.976216478582696,0.0005748093826696278,0.9675274684205659,AGP+QATRLQ:S:PCW,QATRLQ
25,2021.01.12-234144,2020.12.14-174343,16363.0,19.48440104786854,26.6771772275,1.9974365234375,4.005133532970727,0.008627776056528091,0.7201730801054638,AGP+QATRLQ:S:NNPCW,QATRLQ
26,2021.01.12-234205,2020.12.14-174343,16483.0,19.62729221243153,36.71241530852159,2.0120849609375,3.975975247224413,0.0008539884584024549,0.9557242804407586,AGP+QATRLQ:S:NNPCW,QATRLQ
27,2021.01.12-234226,2020.12.14-174343,16415.0,19.5463205525125,23.961836063490658,2.0037841796875,3.9924459335973195,0.01606485247612,0.6730734139260623,AGP+QATRLQ:S:PCW,QATRLQ
28,2021.01.12-234248,2020.12.14-174343,16482.0,19.62610145272684,32.743895847248396,2.011962890625,3.976216478582696,0.0021350060123950247,0.8882575716797033,AGP+QATRLQ:S:PCW,QATRLQ
29,2021.01.12-234310,2020.12.14-174343,16340.0,19.457013574660635,23.62020866253253,1.99462890625,4.0107711138310895,0.017379697412252426,0.6497912027605439,AGP+QATRLQ:S:NNPCW,QATRLQ
30,2021.01.12-234331,2020.12.14-174343,16475.0,19.617766134794,32.39979189985494,2.0111083984375,3.977905918057663,0.0023075065109878787,0.8801169338319499,AGP+QATRLQ:S:NNPCW,QATRLQ
31,2021.01.12-234352,2020.12.14-174343,16420.0,19.552274351035962,27.46438637686245,2.00439453125,3.9912302070645556,0.007202413398772478,0.7426300699070014,AGP+QATRLQ:AU:PCW,QATRLQ
32,2021.01.12-234414,2020.12.14-174343,16482.0,19.62610145272684,38.4284900183105,2.011962890625,3.976216478582696,0.0005748093826696278,0.9675274684205659,AGP+QATRLQ:AU:PCW,QATRLQ
33,2021.01.12-234436,2020.12.14-174343,16363.0,19.48440104786854,26.6771772275,1.9974365234375,4.005133532970727,0.008627776056528091,0.7201730801054638,AGP+QATRLQ:AU:NNPCW,QATRLQ
34,2021.01.12-234457,2020.12.14-174343,16483.0,19.62729221243153,36.71241530852159,2.0120849609375,3.975975247224413,0.0008539884584024549,0.9557242804407586,AGP+QATRLQ:AU:NNPCW,QATRLQ
35,2021.01.12-234518,2020.12.14-174343,16415.0,19.5463205525125,23.961836063490658,2.0037841796875,3.9924459335973195,0.01606485247612,0.6730734139260623,AGP+QATRLQ:AU:PCW,QATRLQ
36,2021.01.12-234540,2020.12.14-174343,16482.0,19.62610145272684,32.743895847248396,2.011962890625,3.976216478582696,0.0021350060123950247,0.8882575716797033,AGP+QATRLQ:AU:PCW,QATRLQ
37,2021.01.12-234602,2020.12.14-174343,16340.0,19.457013574660635,23.62020866253253,1.99462890625,4.0107711138310895,0.017379697412252426,0.6497912027605439,AGP+QATRLQ:AU:NNPCW,QATRLQ
38,2021.01.12-234623,2020.12.14-174343,16475.0,19.617766134794,32.39979189985494,2.0111083984375,3.977905918057663,0.0023075065109878787,0.8801169338319499,AGP+QATRLQ:AU:NNPCW,QATRLQ
39,2021.01.12-234645,2020.12.14-174343,16420.0,19.552274351035962,27.46438637686245,2.00439453125,3.9912302070645556,0.007202413398772478,0.7426300699070014,AGP+QATRLQ:AS:PCW,QATRLQ
40,2021.01.12-234707,2020.12.14-174343,16482.0,19.62610145272684,38.4284900183105,2.011962890625,3.976216478582696,0.0005748093826696278,0.9675274684205659,AGP+QATRLQ:AS:PCW,QATRLQ
41,2021.01.12-234729,2020.12.14-174343,16363.0,19.48440104786854,26.6771772275,1.9974365234375,4.005133532970727,0.008627776056528091,0.7201730801054638,AGP+QATRLQ:AS:NNPCW,QATRLQ
