,timestamp,hf,hl,seed,gpu,image_name,heigth,width,cropped_heigth,cropped_width,is_cropped,lr,epochs,date,root_path,path
76,1603672968-148557,85,7,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.7.arch_no_13.trial_no_0.pth
77,1603672968-148557,85,7,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.7.arch_no_14.trial_no_0.pth
78,1603672968-148557,85,8,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.8.arch_no_15.trial_no_0.pth
79,1603672968-148557,85,8,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.8.arch_no_16.trial_no_0.pth
80,1603672968-148557,85,8,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.8.arch_no_17.trial_no_0.pth
81,1603672968-148557,85,9,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.9.arch_no_18.trial_no_0.pth
82,1603672968-148557,85,9,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.9.arch_no_19.trial_no_0.pth
83,1603672968-148557,85,9,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.9.arch_no_20.trial_no_0.pth
84,1603731938-952001,85,10,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603731938-952001\train,/content/my_data/1603731938-952001.85.10.arch_no_0.trial_no_0.pth
85,1603731938-952001,85,10,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603731938-952001\train,/content/my_data/1603731938-952001.85.10.arch_no_1.trial_no_0.pth
86,1603731938-952001,85,10,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603731938-952001\train,/content/my_data/1603731938-952001.85.10.arch_no_2.trial_no_0.pth
87,1603731938-952001,85,11,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603731938-952001\train,/content/my_data/1603731938-952001.85.11.arch_no_3.trial_no_0.pth
88,1603731938-952001,85,11,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603731938-952001\train,/content/my_data/1603731938-952001.85.11.arch_no_4.trial_no_0.pth
89,1603731938-952001,85,11,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603731938-952001\train,/content/my_data/1603731938-952001.85.11.arch_no_5.trial_no_0.pth
90,1603731938-952001,85,12,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603731938-952001\train,/content/my_data/1603731938-952001.85.12.arch_no_6.trial_no_0.pth
91,1603731938-952001,85,12,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603731938-952001\train,/content/my_data/1603731938-952001.85.12.arch_no_7.trial_no_0.pth
92,1603731938-952001,85,12,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603731938-952001\train,/content/my_data/1603731938-952001.85.12.arch_no_8.trial_no_0.pth
