,mse,psnr,ssim,CR,bpp,file_size_bits,compression
1603583765-067812,4.0933511627372354e-05,50.38484682324797,0.9962497072766803,0.31927516994489363,12.13916015625,795552.0,siren-55
1603583765-067812,5.431521276477724e-05,48.01957698064519,0.996086763246331,0.2840807415625783,13.64306640625,894112.0,siren-55
1603583765-067812,4.142842226428911e-05,50.573362907724615,0.9964495103833735,0.2840807415625783,13.64306640625,894112.0,siren-55
1603583765-067812,1.990639793802984e-05,52.80803759584094,0.9970863014798768,0.2840807415625783,13.64306640625,894112.0,siren-55
1603672968-148557,4.088282730663195e-05,49.56231593162856,0.9962300763013987,0.35640519060661846,10.87451171875,712672.0,siren-85
1603672968-148557,5.194555706111714e-05,49.09585803523697,0.9961185616118656,0.35640519060661846,10.87451171875,712672.0,siren-85
1603672968-148557,3.575830487534404e-05,49.48566587176905,0.996338995490693,0.35640519060661846,10.87451171875,712672.0,siren-85
1603672968-148557,1.3499164197128266e-05,54.615937494406054,0.9982647686724324,0.26833102329197794,14.44384765625,946592.0,siren-85
1603672968-148557,1.2366685041342862e-05,55.27999009880798,0.9983395336978376,0.26833102329197794,14.44384765625,946592.0,siren-85
1603672968-148557,3.135604492854327e-05,51.78624471930828,0.9977932583226897,0.26833102329197794,14.44384765625,946592.0,siren-85
1603672968-148557,8.672010153532028e-06,56.391988570556926,0.9988027741716526,0.21516087934726627,18.01318359375,1180512.0,siren-85
1603672968-148557,9.096981557377148e-06,56.425982766443035,0.9988680219661399,0.21516087934726627,18.01318359375,1180512.0,siren-85
1603672968-148557,8.4040093497606e-06,56.87972095134161,0.9988870957647303,0.21516087934726627,18.01318359375,1180512.0,siren-85
1603672968-148557,9.32101556827547e-06,57.19854471101986,0.9991183618367193,0.17957738512703333,21.58251953125,1414432.0,siren-85
1603672968-148557,2.4404154828516766e-05,52.217610831739414,0.9986158341404553,0.17957738512703333,21.58251953125,1414432.0,siren-85
1603672968-148557,5.670083737641107e-06,58.03900996527254,0.9992597801307631,0.17957738512703333,21.58251953125,1414432.0,siren-85
1603672968-148557,6.244338692340534e-06,58.02372052253532,0.9993501387350293,0.1540933004600959,25.15185546875,1648352.0,siren-85
1603672968-148557,3.2227449082711246e-06,60.719913879893284,0.9995194157389956,0.1540933004600959,25.15185546875,1648352.0,siren-85
1603672968-148557,1.148206865764223e-05,56.10698637819574,0.9993093215973214,0.1540933004600959,25.15185546875,1648352.0,siren-85
1603672968-148557,1.9189050362911075e-05,52.498010565192956,0.9986195350789349,0.13494330256201018,28.72119140625,1882272.0,siren-85
1603672968-148557,1.436323145753704e-05,55.2400630267192,0.9992753376371085,0.13494330256201018,28.72119140625,1882272.0,siren-85
1603672968-148557,1.560606324346736e-05,54.05646506429571,0.9992486476742427,0.13494330256201018,28.72119140625,1882272.0,siren-85
1603672968-148557,4.830967554880772e-06,59.404344541263605,0.9995290254682246,0.12002691627224751,32.29052734375,2116192.0,siren-85
1603672968-148557,2.3679698642808944e-05,53.566094524370655,0.9991417826531797,0.12002691627224751,32.29052734375,2116192.0,siren-85
1603672968-148557,5.159151442057919e-06,59.785924170653146,0.9995418745994207,0.12002691627224751,32.29052734375,2116192.0,siren-85
1603731938-952001,1.7746618823366589e-06,63.662507262431454,0.999675338102884,0.10807995533829877,35.85986328125,2350112.0,siren-85
1603731938-952001,3.253482873333269e-06,60.763227454816835,0.9995897554608005,0.10807995533829877,35.85986328125,2350112.0,siren-85
1603731938-952001,6.757268693036167e-06,57.340350481775666,0.998884968761114,0.10807995533829877,35.85986328125,2350112.0,siren-85
1603731938-952001,9.706207038107095e-07,65.72223958883741,0.9998168502357255,0.09829599633441072,39.42919921875,2584032.0,siren-85
1603731938-952001,5.907887498324271e-06,58.14956368683667,0.9988735106750322,0.09829599633441072,39.42919921875,2584032.0,siren-85
1603731938-952001,2.71087583314511e-06,61.45621904984709,0.9994904747580016,0.09829599633441072,39.42919921875,2584032.0,siren-85
1603731938-952001,1.1469953278719913e-05,55.146051434406154,0.9981206155321612,0.09013638273469526,42.99853515625,2817952.0,siren-85
1603731938-952001,3.6789177102036774e-05,50.463649205941586,0.9955229498675461,0.09013638273469526,42.99853515625,2817952.0,siren-85
1603731938-952001,1.6675135157129262e-06,64.2856817665256,0.9997024090902245,0.09013638273469526,42.99853515625,2817952.0,siren-85
