,timestamp,hf,hl,seed,gpu,image_name,heigth,width,cropped_heigth,cropped_width,is_cropped,lr,epochs
120,1603816949-617728,64,11,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
121,1603816949-617728,64,11,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
122,1603816949-617728,64,11,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
123,1603816949-617728,64,12,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
124,1603816949-617728,64,12,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
125,1603816949-617728,64,12,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
126,1603816949-617728,64,13,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
127,1603816949-617728,64,13,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
128,1603816949-617728,64,13,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
129,1603843559-156915,45,10,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
130,1603843559-156915,45,10,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
131,1603843559-156915,45,10,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
132,1603843559-156915,45,11,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
133,1603843559-156915,45,11,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
134,1603843559-156915,45,11,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
135,1603843559-156915,45,12,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
136,1603843559-156915,45,12,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
137,1603843559-156915,45,12,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
138,1603843559-156915,45,13,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
139,1603843559-156915,45,13,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
140,1603843559-156915,45,13,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
141,1603905451-45262,90,3,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
142,1603905451-45262,90,3,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
143,1603905451-45262,90,3,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
144,1603905451-45262,90,4,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
145,1603905451-45262,90,4,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
146,1603905451-45262,90,4,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
147,1603905451-45262,90,5,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
148,1603905451-45262,90,5,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
149,1603905451-45262,90,5,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
150,1603905451-45262,90,6,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
151,1603905451-45262,90,6,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
152,1603905451-45262,90,6,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
153,1603905451-45262,90,7,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
154,1603905451-45262,90,7,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
155,1603905451-45262,90,7,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
156,1603905451-45262,90,8,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
157,1603905451-45262,90,8,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
158,1603905451-45262,90,8,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
159,1603905451-45262,90,9,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
160,1603905451-45262,90,9,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
161,1603905451-45262,90,9,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
162,1604097384-058852,35,2,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
163,1604097384-058852,35,2,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
164,1604097384-058852,35,2,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
165,1604097384-058852,35,2,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
166,1604097384-058852,35,2,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
167,1604097384-058852,35,3,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
168,1604097384-058852,35,3,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
169,1604097384-058852,35,3,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
170,1604097384-058852,35,3,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
171,1604097384-058852,35,3,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
172,1604097384-058852,35,4,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
173,1604097384-058852,35,4,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
174,1604097384-058852,35,4,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
175,1604097384-058852,35,4,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
176,1604097384-058852,35,4,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
177,1604097384-058852,35,5,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
178,1604097384-058852,35,5,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
179,1604097384-058852,35,5,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
180,1604097384-058852,35,5,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
181,1604097384-058852,35,5,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
182,1604097384-058852,35,6,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
183,1604097384-058852,35,6,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
184,1604097384-058852,35,6,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
185,1604097384-058852,35,6,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
186,1604097384-058852,35,6,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
187,1604097384-058852,35,7,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
188,1604097384-058852,35,7,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
189,1604097384-058852,35,7,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
190,1604097384-058852,35,7,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
191,1604097384-058852,35,7,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
192,1604097384-058852,35,8,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
193,1604097384-058852,35,8,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
194,1604097384-058852,35,8,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
195,1604097384-058852,35,8,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
196,1604097384-058852,35,8,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
197,1604097384-058852,35,9,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
198,1604097384-058852,35,9,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
