,model_filename,hidden_layers,hidden_features,sidelength,quant_tech,mse,psnr,ssim,eta_seconds,model_size
26,1604340857-839151.16.0.3.0.arch_no_6.trial_no_0.pth,3,16,256,dynamic-torch.float16,0.020202182233333588,22.99786085983851,0.6478333090832781,0.024213552474975586,10303
27,1604340857-839151.16.0.3.0.arch_no_6.trial_no_0.pth,3,16,256,custom_quant,0.458759069442749,9.404752974878164,0.34820398125801416,0.027200937271118164,7127
28,1604340857-839151.16.0.3.0.arch_no_7.trial_no_0.pth,3,16,256,None,0.0207735113799572,22.899120734713634,0.6208636661648712,0.019438505172729492,7127
29,1604340857-839151.16.0.3.0.arch_no_7.trial_no_0.pth,3,16,256,dynamic-torch.qint8,0.02872677519917488,21.493521457722316,0.5610328561383007,0.028656005859375,7935
30,1604340857-839151.16.0.3.0.arch_no_7.trial_no_0.pth,3,16,256,dynamic-torch.float16,0.020778557285666466,22.897538738093782,0.6208537569064159,0.024880170822143555,10303
31,1604340857-839151.16.0.3.0.arch_no_7.trial_no_0.pth,3,16,256,custom_quant,0.3318822681903839,10.810759353425968,0.33870098888436406,0.032486915588378906,7127
32,1604340857-839151.16.0.3.0.arch_no_8.trial_no_0.pth,3,16,256,None,0.016119319945573807,23.976262834848406,0.7004778446523908,0.019315481185913086,7127
33,1604340857-839151.16.0.3.0.arch_no_8.trial_no_0.pth,3,16,256,dynamic-torch.qint8,0.027396105229854584,21.70788590802603,0.6083220258953274,0.027350425720214844,7935
34,1604340857-839151.16.0.3.0.arch_no_8.trial_no_0.pth,3,16,256,dynamic-torch.float16,0.016124486923217773,23.974783146953065,0.7003849625774624,0.02420353889465332,10303
35,1604340857-839151.16.0.3.0.arch_no_8.trial_no_0.pth,3,16,256,custom_quant,0.3843931257724762,10.172843701783796,0.33825075404515187,0.03382396697998047,7127
36,1604340857-839151.16.0.3.0.arch_no_9.trial_no_0.pth,3,16,256,None,0.019851859658956528,23.0590395610605,0.6382643438060679,0.01886129379272461,7127
