,date,init-from,size(byte),footprint(%),psnr,bpp,CR,mse,ssim,cmprss-class,cmprss-class-2
11,1603478755-305517,-,297604.0,100.0,57.7989201336779,36.32861328125,0.10668539401352133,5.976523425488267e-06,0.9988493024973438,Baseline:hf=75:hl=13,BASELINE
12,1603557121-338703,-,124084.0,100.0,49.05059114305483,15.14697265625,0.255875052383869,6.713710172334686e-05,0.9966154381435408,Baseline:hf=55:hl=10,BASELINE
13,1603557121-338703,-,124084.0,100.0,46.97546182439638,15.14697265625,0.255875052383869,5.4430103773484007e-05,0.9956960935257816,Baseline:hf=55:hl=10,BASELINE
14,1603557121-338703,-,124084.0,100.0,45.776318099397294,15.14697265625,0.255875052383869,0.00010602621478028597,0.9888684497544776,Baseline:hf=55:hl=10,BASELINE
15,1603557121-338703,-,136404.0,100.0,47.089808869529676,16.65087890625,0.2327644350605554,7.604671554872766e-05,0.9918383330555416,Baseline:hf=55:hl=11,BASELINE
16,1603557121-338703,-,136404.0,100.0,52.06258447024386,16.65087890625,0.2327644350605554,2.285371374455281e-05,0.9972444596880852,Baseline:hf=55:hl=11,BASELINE
17,1603557121-338703,-,136404.0,100.0,54.80448088175932,16.65087890625,0.2327644350605554,1.3221285371400882e-05,0.9976904642152462,Baseline:hf=55:hl=11,BASELINE
18,1603557121-338703,-,148724.0,100.0,49.845281256422226,18.15478515625,0.2134826927731906,4.004314905614592e-05,0.9940291563709636,Baseline:hf=55:hl=12,BASELINE
19,1603557121-338703,-,148724.0,100.0,45.60083299579826,18.15478515625,0.2134826927731906,0.00011216648272238672,0.9936229872539288,Baseline:hf=55:hl=12,BASELINE
20,1603557121-338703,-,148724.0,100.0,53.65628874223741,18.15478515625,0.2134826927731906,1.8053722669719722e-05,0.9974562796879454,Baseline:hf=55:hl=12,BASELINE
21,1603557121-338703,-,161044.0,100.0,52.53215453604593,19.65869140625,0.1971510891433397,2.0606683392543346e-05,0.9974388154754676,Baseline:hf=55:hl=13,BASELINE
22,1603557121-338703,-,161044.0,100.0,52.777943229903094,19.65869140625,0.1971510891433397,2.122401929227636e-05,0.9961756008248072,Baseline:hf=55:hl=13,BASELINE
23,1603557121-338703,-,161044.0,100.0,45.24905628137826,19.65869140625,0.1971510891433397,0.00014270884275902063,0.991185756791536,Baseline:hf=55:hl=13,BASELINE
24,1603583765-067812,-,37844.0,100.0,40.66532356558921,4.61962890625,0.8389705105168587,0.0003443200839683413,0.9757822480377116,Baseline:hf=55:hl=3,BASELINE
25,1603583765-067812,-,37844.0,100.0,40.661138725574055,4.61962890625,0.8389705105168587,0.00034564774250611663,0.9753360704535592,Baseline:hf=55:hl=3,BASELINE
26,1603583765-067812,-,37844.0,100.0,40.15885025713256,4.61962890625,0.8389705105168587,0.00038538832450285554,0.9719194962530848,Baseline:hf=55:hl=3,BASELINE
27,1603583765-067812,-,50164.0,100.0,43.86226731156076,6.12353515625,0.6329240092496611,0.00016426094225607812,0.9875176335221992,Baseline:hf=55:hl=4,BASELINE
28,1603583765-067812,-,50164.0,100.0,42.09326370447389,6.12353515625,0.6329240092496611,0.0002456393849570304,0.9854545810739821,Baseline:hf=55:hl=4,BASELINE
29,1603583765-067812,-,50164.0,100.0,43.367002552858,6.12353515625,0.6329240092496611,0.00017728193779475992,0.9867754825181488,Baseline:hf=55:hl=4,BASELINE
30,1603583765-067812,-,62484.0,100.0,45.946187809059545,7.62744140625,0.5081300813008129,9.9794429843314e-05,0.9917329028941934,Baseline:hf=55:hl=5,BASELINE
31,1603583765-067812,-,62484.0,100.0,45.9538160308801,7.62744140625,0.5081300813008129,0.00010200651013292372,0.991740682707124,Baseline:hf=55:hl=5,BASELINE
32,1603583765-067812,-,62484.0,100.0,45.772653510021925,7.62744140625,0.5081300813008129,0.00010778923024190592,0.9912152446915208,Baseline:hf=55:hl=5,BASELINE
33,1603583765-067812,-,74804.0,100.0,47.39988323632042,9.13134765625,0.4244425431795091,7.644334982614964e-05,0.9936974478855224,Baseline:hf=55:hl=6,BASELINE
34,1603583765-067812,-,74804.0,100.0,47.478825670150954,9.13134765625,0.4244425431795091,7.290017674677074e-05,0.9937598661591382,Baseline:hf=55:hl=6,BASELINE
35,1603583765-067812,-,74804.0,100.0,46.50067771356851,9.13134765625,0.4244425431795091,9.193028381559998e-05,0.993498442235298,Baseline:hf=55:hl=6,BASELINE
36,1603583765-067812,-,87124.0,100.0,44.61324017538253,10.63525390625,0.3644231210688215,0.00016125258116517216,0.9937619918082142,Baseline:hf=55:hl=7,BASELINE
37,1603583765-067812,-,87124.0,100.0,46.197413133226405,10.63525390625,0.3644231210688215,6.445220788009465e-05,0.9943844112619024,Baseline:hf=55:hl=7,BASELINE
38,1603583765-067812,-,87124.0,100.0,48.35464939506768,10.63525390625,0.3644231210688215,6.595130253117532e-05,0.9949798355261059,Baseline:hf=55:hl=7,BASELINE
39,1603583765-067812,-,99444.0,100.0,48.076194526385144,12.13916015625,0.31927516994489363,5.333108856575564e-05,0.9954095502646944,Baseline:hf=55:hl=8,BASELINE
40,1603583765-067812,-,99444.0,100.0,49.456710842265366,12.13916015625,0.31927516994489363,5.129872442921624e-05,0.995665327311461,Baseline:hf=55:hl=8,BASELINE
41,1603583765-067812,-,99444.0,100.0,50.38484682324797,12.13916015625,0.31927516994489363,4.0933511627372354e-05,0.9962497072766804,Baseline:hf=55:hl=8,BASELINE
42,1603583765-067812,-,111764.0,100.0,48.01957698064519,13.64306640625,0.2840807415625783,5.431521276477724e-05,0.9960867632463308,Baseline:hf=55:hl=9,BASELINE
