,date,init-from,size(byte),footprint(%),psnr,bpp,CR,mse,ssim,cmprss-class,cmprss-class-2
1603583765-067812,1603583765-067812,-,111764.0,100.0,52.80803759584094,13.64306640625,0.2840807415625783,1.990639793802984e-05,0.9970863014798768,Baseline:hf=55:hl=9,BASELINE
1603672968-148557,1603672968-148557,-,89084.0,100.0,49.56231593162856,10.87451171875,0.35640519060661846,4.088282730663195e-05,0.9962300763013987,Baseline:hf=85:hl=3,BASELINE
1603672968-148557,1603672968-148557,-,89084.0,100.0,49.09585803523697,10.87451171875,0.35640519060661846,5.194555706111714e-05,0.9961185616118656,Baseline:hf=85:hl=3,BASELINE
1603672968-148557,1603672968-148557,-,89084.0,100.0,49.48566587176905,10.87451171875,0.35640519060661846,3.575830487534404e-05,0.996338995490693,Baseline:hf=85:hl=3,BASELINE
1603672968-148557,1603672968-148557,-,118324.0,100.0,54.615937494406054,14.44384765625,0.26833102329197794,1.3499164197128266e-05,0.9982647686724324,Baseline:hf=85:hl=4,BASELINE
1603672968-148557,1603672968-148557,-,118324.0,100.0,55.27999009880798,14.44384765625,0.26833102329197794,1.2366685041342862e-05,0.9983395336978376,Baseline:hf=85:hl=4,BASELINE
1603672968-148557,1603672968-148557,-,118324.0,100.0,51.78624471930828,14.44384765625,0.26833102329197794,3.135604492854327e-05,0.9977932583226897,Baseline:hf=85:hl=4,BASELINE
1603672968-148557,1603672968-148557,-,147564.0,100.0,56.391988570556926,18.01318359375,0.21516087934726627,8.672010153532028e-06,0.9988027741716526,Baseline:hf=85:hl=5,BASELINE
1603672968-148557,1603672968-148557,-,147564.0,100.0,56.425982766443035,18.01318359375,0.21516087934726627,9.096981557377148e-06,0.9988680219661399,Baseline:hf=85:hl=5,BASELINE
1603672968-148557,1603672968-148557,-,147564.0,100.0,56.87972095134161,18.01318359375,0.21516087934726627,8.4040093497606e-06,0.9988870957647303,Baseline:hf=85:hl=5,BASELINE
1603672968-148557,1603672968-148557,-,176804.0,100.0,57.19854471101986,21.58251953125,0.17957738512703333,9.32101556827547e-06,0.9991183618367193,Baseline:hf=85:hl=6,BASELINE
1603672968-148557,1603672968-148557,-,176804.0,100.0,52.217610831739414,21.58251953125,0.17957738512703333,2.4404154828516766e-05,0.9986158341404553,Baseline:hf=85:hl=6,BASELINE
1603672968-148557,1603672968-148557,-,176804.0,100.0,58.03900996527254,21.58251953125,0.17957738512703333,5.670083737641107e-06,0.9992597801307631,Baseline:hf=85:hl=6,BASELINE
1603672968-148557,1603672968-148557,-,206044.0,100.0,58.02372052253532,25.15185546875,0.1540933004600959,6.244338692340534e-06,0.9993501387350293,Baseline:hf=85:hl=7,BASELINE
1603672968-148557,1603672968-148557,-,206044.0,100.0,60.719913879893284,25.15185546875,0.1540933004600959,3.2227449082711246e-06,0.9995194157389956,Baseline:hf=85:hl=7,BASELINE
1603672968-148557,1603672968-148557,-,206044.0,100.0,56.10698637819574,25.15185546875,0.1540933004600959,1.148206865764223e-05,0.9993093215973214,Baseline:hf=85:hl=7,BASELINE
1603672968-148557,1603672968-148557,-,235284.0,100.0,52.498010565192956,28.72119140625,0.13494330256201018,1.9189050362911075e-05,0.9986195350789349,Baseline:hf=85:hl=8,BASELINE
1603672968-148557,1603672968-148557,-,235284.0,100.0,55.2400630267192,28.72119140625,0.13494330256201018,1.436323145753704e-05,0.9992753376371085,Baseline:hf=85:hl=8,BASELINE
1603672968-148557,1603672968-148557,-,235284.0,100.0,54.05646506429571,28.72119140625,0.13494330256201018,1.560606324346736e-05,0.9992486476742427,Baseline:hf=85:hl=8,BASELINE
1603672968-148557,1603672968-148557,-,264524.0,100.0,59.404344541263605,32.29052734375,0.12002691627224751,4.830967554880772e-06,0.9995290254682246,Baseline:hf=85:hl=9,BASELINE
1603672968-148557,1603672968-148557,-,264524.0,100.0,53.566094524370655,32.29052734375,0.12002691627224751,2.3679698642808944e-05,0.9991417826531797,Baseline:hf=85:hl=9,BASELINE
1603672968-148557,1603672968-148557,-,264524.0,100.0,59.785924170653146,32.29052734375,0.12002691627224751,5.159151442057919e-06,0.9995418745994207,Baseline:hf=85:hl=9,BASELINE
1603731938-952001,1603731938-952001,-,293764.0,100.0,63.662507262431454,35.85986328125,0.10807995533829877,1.7746618823366589e-06,0.999675338102884,Baseline:hf=85:hl=10,BASELINE
1603731938-952001,1603731938-952001,-,293764.0,100.0,60.763227454816835,35.85986328125,0.10807995533829877,3.253482873333269e-06,0.9995897554608005,Baseline:hf=85:hl=10,BASELINE
1603731938-952001,1603731938-952001,-,293764.0,100.0,57.340350481775666,35.85986328125,0.10807995533829877,6.757268693036167e-06,0.998884968761114,Baseline:hf=85:hl=10,BASELINE
1603731938-952001,1603731938-952001,-,323004.0,100.0,65.72223958883741,39.42919921875,0.09829599633441072,9.706207038107095e-07,0.9998168502357255,Baseline:hf=85:hl=11,BASELINE
1603731938-952001,1603731938-952001,-,323004.0,100.0,58.14956368683667,39.42919921875,0.09829599633441072,5.907887498324271e-06,0.9988735106750322,Baseline:hf=85:hl=11,BASELINE
